vesselId,mmsi,shipName,vesselType,imo,position_count,minimum_distance_km,closest_lat,closest_lon,closest_timestamp,latest_lat,latest_lon,latest_timestamp
1b6e1fa7e-ee30-56b7-aabb-88e321ae1f4f,419099300,AMBUJA MUKUND,CARGO,9543639,3,1.112,18.91,72.5,2026-08-30T14:00:00Z,18.82,72.56999969482422,2026-08-30T14:00:00Z
1739f3efe-e0a7-e8f2-0885-17ca95788e80,419001356,AMNS TUFMAX,CARGO,9486295,7,2.104,18.9,72.5199966430664,2026-08-30T16:00:00Z,18.83,72.66999816894531,2026-08-30T16:00:00Z
a2fb686f4-4304-09ae-5b1e-d16a6b67725e,419001837,SHAURYA,OTHER,9415351,4,2.46,18.88,72.51000213623047,2026-08-30T05:00:00Z,18.88,72.51000213623047,2026-08-30T05:00:00Z
2e9705d42-2d9d-26b4-1c19-fada3f3fcb6b,419714000,GREATSHIP AMRITA,SEISMIC_VESSEL,9408437,4,3.061,18.92,72.4800033569336,2026-08-30T15:00:00Z,18.79,72.55000305175781,2026-08-30T15:00:00Z
a7ca5eb2e-e0b4-0d63-fc03-37a271e021a0,538006083,DIMIJOHN A,CARGO,9702730,1,3.061,18.92,72.5199966430664,2026-08-30T07:00:00Z,18.92,72.5199966430664,2026-08-30T07:00:00Z
f17cf16eb-b9f0-c6aa-b43b-907bd973f7e8,574004700,HAI DUONG 11,OTHER,9369629,6,4.448,18.86,72.5,2026-08-30T00:00:00Z,18.96,72.4000015258789,2026-08-30T00:00:00Z
abcd7652c-c678-949d-8f7f-5a56a3eb09ea,538009278,AKTI,CARGO,9660619,2,4.571,18.86,72.48999786376953,2026-08-30T11:00:00Z,18.86,72.33999633789062,2026-08-30T11:00:00Z
ff8ef9c2a-a4e5-496b-a787-72ff42e1f7de,563205300,MAC TOKYO,OTHER,9343778,2,4.592,18.87,72.52999877929688,2026-08-30T09:00:00Z,18.87,72.52999877929688,2026-08-30T09:00:00Z
10669ebb7-72ff-9327-0918-7d2387b2b454,636023320,CENTURY ZHENGZHOU,CARGO,1015337,19,5.37,18.87,72.54000091552734,2026-08-30T00:00:00Z,19.07,72.55000305175781,2026-08-30T00:00:00Z
7fe7ce818-87d5-3f3d-664a-b7720e2c86c1,636018222,DELPHINUS C,CARGO,,1,5.37,18.93,72.54000091552734,2026-08-30T07:00:00Z,18.93,72.54000091552734,2026-08-30T07:00:00Z
56417b4fb-b9e6-3376-361f-4f64e0cfffce,352006614,NOVENA WW,CARGO,9584231,10,5.376,18.91,72.55000305175781,2026-08-30T14:00:00Z,19.07,72.55000305175781,2026-08-30T14:00:00Z
af29f241d-d88b-fb81-4d22-fd9ef4efbb07,511101469,ANJANEYA,OTHER,9578323,3,5.376,18.91,72.55000305175781,2026-08-30T17:00:00Z,18.81,72.62999725341797,2026-08-30T17:00:00Z
cca7c015f-f2ba-5d4f-5999-658a8d2a3eb1,352001712,YUAN HANG WEI YE,CARGO,9371799,2,5.377,18.89,72.55000305175781,2026-08-30T03:00:00Z,18.89,72.55000305175781,2026-08-30T03:00:00Z
7d2be64f6-6ebb-0e53-2ab7-0e6b999ccfda,419760000,SWARNA KRISHNA,OTHER,9414838,2,5.453,18.94,72.52999877929688,2026-08-30T00:00:00Z,18.85,72.58000183105469,2026-08-30T00:00:00Z
1efbe3821-1e82-060f-dadf-fd1d7ef19daf,419000211,P.R.NAYAK,OTHER,9576351,7,5.454,18.86,72.52999877929688,2026-08-30T14:00:00Z,18.89,72.43000030517578,2026-08-30T14:00:00Z
83434ca02-23e0-82b7-6bb0-d32f5b5408f9,219974000,JENS MAERSK,CARGO,9215177,2,6.123,18.86,72.45999908447266,2026-08-30T02:00:00Z,18.85,72.6500015258789,2026-08-30T02:00:00Z
927b6431a-abb6-6f8d-daf2-374d61e82870,538009130,GENCO MAYFLOWER,CARGO,9714680,2,6.393,18.95,72.52999877929688,2026-08-30T17:00:00Z,18.95,72.52999877929688,2026-08-30T17:00:00Z
87b40cd06-6e4f-8c0b-0737-97b22e98e320,352005870,JESSICA W,CARGO,1040825,2,6.692,18.88,72.55999755859375,2026-08-30T08:00:00Z,19.07,72.5,2026-08-30T08:00:00Z
29b55c2c2-2a09-e818-bff2-50d8775172b3,636018508,BRIGHT STAR,CARGO,9481960,24,6.995,18.96,72.5199966430664,2026-08-30T00:00:00Z,19.06,72.58000183105469,2026-08-30T00:00:00Z
706201359-9a85-2031-ff01-18539bb76a22,636016574,MSC SKY II,CARGO,9162277,2,7.14,18.87,72.55999755859375,2026-08-30T00:00:00Z,18.98,72.5199966430664,2026-08-30T00:00:00Z
729b7df0d-d6cf-ddef-65cf-aa4eda96bb40,419067900,AMBUJA LAKSHMI,CARGO,9241372,4,7.653,18.95,72.55000305175781,2026-08-30T10:00:00Z,18.84,72.68000030517578,2026-08-30T10:00:00Z
feed3e96a-aa77-9943-8c62-de8dde7614b2,311072400,RCC COMPASS,CARGO,9441611,3,7.854,18.83,72.51000213623047,2026-08-30T00:00:00Z,18.83,72.66000366210938,2026-08-30T00:00:00Z
